n=814=2 * 11 * 37, d=76
n=818=2 * 409, d=20
n=818=2 * 409, d=164
n=818=2 * 409, d=820
n=822=2 * 3 * 137, d=12
n=822=2 * 3 * 137, d=20
n=822=2 * 3 * 137, d=92
n=822=2 * 3 * 137, d=276
n=826=2 * 7 * 59, d=8
n=826=2 * 7 * 59, d=24
n=826=2 * 7 * 59, d=16
n=826=2 * 7 * 59, d=40
n=826=2 * 7 * 59, d=120
n=830=2 * 5 * 83, d=12
n=830=2 * 5 * 83, d=20
n=830=2 * 5 * 83, d=24
n=830=2 * 5 * 83, d=52
n=830=2 * 5 * 83, d=56
n=830=2 * 5 * 83, d=168
n=834=2 * 3 * 139, d=8
n=834=2 * 3 * 139, d=40
n=834=2 * 3 * 139, d=56
n=834=2 * 3 * 139, d=280
n=838=2 * 419, d=8
n=838=2 * 419, d=24
n=838=2 * 419, d=40
n=838=2 * 419, d=56
n=838=2 * 419, d=120
n=838=2 * 419, d=168
n=838=2 * 419, d=280
n=838=2 * 419, d=840
n=842=2 * 421, d=844
n=854=2 * 7 * 61, d=16
n=854=2 * 7 * 61, d=124
n=858=2 * 3 * 11 * 13, d=30
n=858=2 * 3 * 11 * 13, d=28
n=858=2 * 3 * 11 * 13, d=60
n=862=2 * 431, d=32
n=862=2 * 431, d=96
n=862=2 * 431, d=288
n=862=2 * 431, d=864
n=866=2 * 433, d=28
n=866=2 * 433, d=124
n=866=2 * 433, d=868
n=870=2 * 3 * 5 * 29, d=12
n=870=2 * 3 * 5 * 29, d=20
n=870=2 * 3 * 5 * 29, d=24
n=870=2 * 3 * 5 * 29, d=60
n=874=2 * 19 * 23, d=8
n=874=2 * 19 * 23, d=16
n=874=2 * 19 * 23, d=40
n=874=2 * 19 * 23, d=48
n=878=2 * 439, d=16
n=878=2 * 439, d=80
n=878=2 * 439, d=176
n=878=2 * 439, d=880
n=886=2 * 443, d=8
n=886=2 * 443, d=24
n=886=2 * 443, d=296
n=886=2 * 443, d=888
n=890=2 * 5 * 89, d=12
n=890=2 * 5 * 89, d=20
n=890=2 * 5 * 89, d=24
n=890=2 * 5 * 89, d=36
n=890=2 * 5 * 89, d=60
n=890=2 * 5 * 89, d=180
n=894=2 * 3 * 149, d=12
n=894=2 * 3 * 149, d=20
n=894=2 * 3 * 149, d=24
n=894=2 * 3 * 149, d=60
n=894=2 * 3 * 149, d=100
n=894=2 * 3 * 149, d=300
n=898=2 * 449, d=12
n=898=2 * 449, d=20
n=898=2 * 449, d=36
n=898=2 * 449, d=60
n=898=2 * 449, d=100
n=898=2 * 449, d=180
n=898=2 * 449, d=300
n=898=2 * 449, d=900
n=902=2 * 11 * 41, d=12
n=902=2 * 11 * 41, d=24
n=902=2 * 11 * 41, d=28
n=902=2 * 11 * 41, d=60
n=902=2 * 11 * 41, d=84
n=906=2 * 3 * 151, d=8
n=906=2 * 3 * 151, d=24
n=906=2 * 3 * 151, d=16
n=906=2 * 3 * 151, d=304
n=910=2 * 5 * 7 * 13, d=20
n=910=2 * 5 * 7 * 13, d=16
n=910=2 * 5 * 7 * 13, d=28
n=914=2 * 457, d=916
n=915=3 * 5 * 61, d=24
n=922=2 * 461, d=12
n=922=2 * 461, d=28
n=922=2 * 461, d=44
n=922=2 * 461, d=84
